n;let novo = new Array;i;i <= n;if (i % 5 ==0);i++;novo.push(i);"  return novo";"console.log(m̼ltiplosD5(30));"
15;[ ];1;true;false;1+1= 2;-;"-";"[]"
15;[ ];2;true;false;1+2=3;-;"-";"[]"
15;[];3;treu;false;1+3=4;-;"-";"[]"
15;[];4;true;false;1+4=5;-;"-";"[]"
15;[];5;true;true;1+5=6;5;"5";"[5]"
15;[5];6;true;false;1+6=7;-;"-";"[5]"
15;[5];7;true;false;1+7=8;-;"-";"[5]"
15;[5];8;true;false;1+8=9;-;"-";"[5]"
15;[5];9;true;false;1+9=10;-;"-";"[5]"
15;[5];10;true;true;1+10=11;10;"10";"[5,10]"
15;[5,10];11;true;false;1+11=12;-;"-";"[5,10]"
15;[5,10];12;true;false;1+12=13;-;"-";"[5,10]"
15;[5,10];13;true;false;1+13=14;-;"-";"[5,10]"
15;[5,10];14;true;false;1+14=15;-;"-";"[5,10]"
15;[5,10];15;true;true;1+15=16;15;"15";"[5,10,15]"
15;[5,10,15];16;false;-;-;-;"-";"-"